ID,WD_eng,WD_url
Harare,Harare,http://www.wikidata.org/entity/Q3921
Havana,Havana,http://www.wikidata.org/entity/Q1563
Helsinki,Helsinki,http://www.wikidata.org/entity/Q1757
Honiara,Honiara,http://www.wikidata.org/entity/Q40921
Islamabad,Islamabad,http://www.wikidata.org/entity/Q1362
Jakarta,Jakarta,http://www.wikidata.org/entity/Q3630
Jerusalem,Jerusalem,http://www.wikidata.org/entity/Q1218
Juba,Juba,http://www.wikidata.org/entity/Q1947
Kabul,Kabul,http://www.wikidata.org/entity/Q5838
Kampala,Kampala,http://www.wikidata.org/entity/Q3894
Kathmandu,Kathmandu,http://www.wikidata.org/entity/Q3037
Khartoum,Khartoum,http://www.wikidata.org/entity/Q1963
Kigali,Kigali,http://www.wikidata.org/entity/Q3859
Kingston,Kingston,http://www.wikidata.org/entity/Q34692
Kingstown,Kingstown,http://www.wikidata.org/entity/Q41474
Kinshasa,Kinshasa,http://www.wikidata.org/entity/Q3838
Kuala Lumpur,Kuala Lumpur,http://www.wikidata.org/entity/Q1865
Kuwait City,,
Kyiv,,
La Paz,La Paz,http://www.wikidata.org/entity/Q1491
Libreville,Libreville,http://www.wikidata.org/entity/Q3825
Lilongwe,Lilongwe,http://www.wikidata.org/entity/Q3876
Lima,Lima,http://www.wikidata.org/entity/Q2868
Lisbon,Lisbon,http://www.wikidata.org/entity/Q597
Ljubljana,Ljubljana,http://www.wikidata.org/entity/Q437
Lomé,Lomé,http://www.wikidata.org/entity/Q3792
London,London,http://www.wikidata.org/entity/Q84
Luanda,Luanda,http://www.wikidata.org/entity/Q3897
Lusaka,Lusaka,http://www.wikidata.org/entity/Q3881
Luxembourg City,Luxembourg,http://www.wikidata.org/entity/Q1842
Madrid,Madrid,http://www.wikidata.org/entity/Q2807
Majuro,,
Malabo,,
Malé,Malé,http://www.wikidata.org/entity/Q9347
Managua,Managua,http://www.wikidata.org/entity/Q3274
Manama,Manama,http://www.wikidata.org/entity/Q3882
Manila,Manila,http://www.wikidata.org/entity/Q1461
Maputo,Maputo,http://www.wikidata.org/entity/Q3889
Maseru,Maseru,http://www.wikidata.org/entity/Q3909
Mbabane,,
Mexico City,Mexico City,http://www.wikidata.org/entity/Q1489
Minsk,Minsk,http://www.wikidata.org/entity/Q2280
Mogadishu,Mogadishu,http://www.wikidata.org/entity/Q2449
Monaco,,
Monrovia,Monrovia,http://www.wikidata.org/entity/Q3748
Montevideo,Montevideo,http://www.wikidata.org/entity/Q1335
Moroni,Moroni,http://www.wikidata.org/entity/Q3901
Moscow,Moscow,http://www.wikidata.org/entity/Q649
Muscat,Muscat,http://www.wikidata.org/entity/Q3826
Nairobi,Nairobi,http://www.wikidata.org/entity/Q3870
Nassau,Nassau,http://www.wikidata.org/entity/Q2467
Naypyidaw,Naypyidaw,http://www.wikidata.org/entity/Q37400
N'Djamena,N'Djamena,http://www.wikidata.org/entity/Q3659
New Delhi,New Delhi,http://www.wikidata.org/entity/Q987
Ngerulmud,Ngerulmud,http://www.wikidata.org/entity/Q515229
Niamey,Niamey,http://www.wikidata.org/entity/Q3674
Nicosia,Nicosia,http://www.wikidata.org/entity/Q3856
Nouakchott,Nouakchott,http://www.wikidata.org/entity/Q3688
North Nicosia,North Nicosia,http://www.wikidata.org/entity/Q2762100
Nuku'alofa,,
Nur-Sultan,,
Oranjestad,Oranjestad,http://www.wikidata.org/entity/Q131243
Oslo,Oslo,http://www.wikidata.org/entity/Q585
Ottawa,Ottawa,http://www.wikidata.org/entity/Q1930
Ouagadougou,Ouagadougou,http://www.wikidata.org/entity/Q3777
Palikir,Palikir,http://www.wikidata.org/entity/Q42751
Panama City,,
Paramaribo,,
Paris,Paris,http://www.wikidata.org/entity/Q90
Philipsburg,Philipsburg,http://www.wikidata.org/entity/Q30958
Phnom Penh,Phnom Penh,http://www.wikidata.org/entity/Q1850
Podgorica,Podgorica,http://www.wikidata.org/entity/Q23564
Port Louis,Port Louis,http://www.wikidata.org/entity/Q3929
Port Moresby,Port Moresby,http://www.wikidata.org/entity/Q36526
Port Vila,Port Vila,http://www.wikidata.org/entity/Q37806
Port of Spain,Port of Spain,http://www.wikidata.org/entity/Q39178
Port-au-Prince,,
Porto-Novo,Porto-Novo,http://www.wikidata.org/entity/Q3799
Prague,Prague,http://www.wikidata.org/entity/Q1085
Praia,Praia,http://www.wikidata.org/entity/Q3751
Pretoria,Pretoria,http://www.wikidata.org/entity/Q3926
Pyongyang,Pyongyang,http://www.wikidata.org/entity/Q18808
Pristina,Pristina,http://www.wikidata.org/entity/Q25270
Quito,Quito,http://www.wikidata.org/entity/Q2900
Rabat,Rabat,http://www.wikidata.org/entity/Q3551
Ramallah,Ramallah,http://www.wikidata.org/entity/Q158119
Reykjavik,Reykjavík,http://www.wikidata.org/entity/Q1764
Riga,Riga,http://www.wikidata.org/entity/Q1773
Riyadh,Riyadh,http://www.wikidata.org/entity/Q3692
Rome,Rome,http://www.wikidata.org/entity/Q220
Roseau,Roseau,http://www.wikidata.org/entity/Q36281
Saint John's,São Tomé,http://www.wikidata.org/entity/Q3932
San José,Saint John's,http://www.wikidata.org/entity/Q36262
San Marino,San José,http://www.wikidata.org/entity/Q3070
San Salvador,San Salvador,http://www.wikidata.org/entity/Q3110
Sana'a,Sanaa,http://www.wikidata.org/entity/Q2471
Santiago,Santiago,http://www.wikidata.org/entity/Q2887
Santo Domingo,Santo Domingo,http://www.wikidata.org/entity/Q34820
Sáo Tomé,,
Sarajevo,Sarajevo,http://www.wikidata.org/entity/Q11194
Seoul,Seoul,http://www.wikidata.org/entity/Q8684
Singapore,Singapore,http://www.wikidata.org/entity/Q334
Skopje,Skopje,http://www.wikidata.org/entity/Q384
Sofia,Sofia,http://www.wikidata.org/entity/Q472
South Tarawa,,
Sri Jayawardenepura Kotte,Sri Jayawardenepura Kotte,http://www.wikidata.org/entity/Q41963
St. George's,St. George's,http://www.wikidata.org/entity/Q41547
Stockholm,Stockholm,http://www.wikidata.org/entity/Q1754
Sucre,Sucre,http://www.wikidata.org/entity/Q2907
Suva,Suva,http://www.wikidata.org/entity/Q38807
Taipei,Taipei,http://www.wikidata.org/entity/Q1867
Tallinn,Tallinn,http://www.wikidata.org/entity/Q1770
Tashkent,Tashkent,http://www.wikidata.org/entity/Q269
Tbilisi,,
Tegucigalpa,Tegucigalpa,http://www.wikidata.org/entity/Q3238
Tehran,Tehran,http://www.wikidata.org/entity/Q3616
Thimphu,Thimphu,http://www.wikidata.org/entity/Q9270
Tirana,Tirana,http://www.wikidata.org/entity/Q19689
Tokyo,Tokyo,http://www.wikidata.org/entity/Q1490
Tripoli,Tripoli,http://www.wikidata.org/entity/Q3579
Tunis,Tunis,http://www.wikidata.org/entity/Q3572
Ulaanbaatar,Ulaanbaatar,http://www.wikidata.org/entity/Q23430
Vaduz,Vaduz,http://www.wikidata.org/entity/Q1844
Valletta,Valletta,http://www.wikidata.org/entity/Q23800
Vatican City,,
Victoria,Victoria,http://www.wikidata.org/entity/Q3940
Vientiane,Vientiane,http://www.wikidata.org/entity/Q9326
Vienna,,
Vilnius,Vilnius,http://www.wikidata.org/entity/Q216
Warsaw,Warsaw,http://www.wikidata.org/entity/Q270
"Washington, D.C.","Washington, D.C.",http://www.wikidata.org/entity/Q61
Wellington,Wellington,http://www.wikidata.org/entity/Q23661
Windhoek,Windhoek,http://www.wikidata.org/entity/Q3935
Yamoussoukro,Yamoussoukro,http://www.wikidata.org/entity/Q3768
Yaoundé,Yaoundé,http://www.wikidata.org/entity/Q3808
Yaren,Yaren District,http://www.wikidata.org/entity/Q31026
Yerevan,Yerevan,http://www.wikidata.org/entity/Q1953
Zagreb,Zagreb,http://www.wikidata.org/entity/Q1435
