city,cityLabel_en
http://www.wikidata.org/entity/Q12919,Majuro
http://www.wikidata.org/entity/Q3818,Malabo
http://www.wikidata.org/entity/Q9347,Malé
http://www.wikidata.org/entity/Q3274,Managua
http://www.wikidata.org/entity/Q3882,Manama
http://www.wikidata.org/entity/Q1461,Manila
http://www.wikidata.org/entity/Q3889,Maputo
http://www.wikidata.org/entity/Q3909,Maseru
http://www.wikidata.org/entity/Q3904,Mbabane
http://www.wikidata.org/entity/Q1489,Mexico City
http://www.wikidata.org/entity/Q5306051,Miccosukee
http://www.wikidata.org/entity/Q2280,Minsk
http://www.wikidata.org/entity/Q2449,Mogadishu
http://www.wikidata.org/entity/Q3748,Monrovia
http://www.wikidata.org/entity/Q1335,Montevideo
http://www.wikidata.org/entity/Q3901,Moroni
http://www.wikidata.org/entity/Q649,Moscow
http://www.wikidata.org/entity/Q3826,Muscat
http://www.wikidata.org/entity/Q3659,N'Djamena
http://www.wikidata.org/entity/Q3870,Nairobi
http://www.wikidata.org/entity/Q2467,Nassau
http://www.wikidata.org/entity/Q37400,Naypyidaw
http://www.wikidata.org/entity/Q987,New Delhi
http://www.wikidata.org/entity/Q515229,Ngerulmud
http://www.wikidata.org/entity/Q3674,Niamey
http://www.wikidata.org/entity/Q3856,Nicosia
http://www.wikidata.org/entity/Q3688,Nouakchott
http://www.wikidata.org/entity/Q38834,Nukuʻalofa
http://www.wikidata.org/entity/Q226,Nuuk
http://www.wikidata.org/entity/Q131243,Oranjestad
http://www.wikidata.org/entity/Q585,Oslo
http://www.wikidata.org/entity/Q1930,Ottawa
http://www.wikidata.org/entity/Q3777,Ouagadougou
http://www.wikidata.org/entity/Q42751,Palikir
http://www.wikidata.org/entity/Q3306,Panama City
http://www.wikidata.org/entity/Q3001,Paramaribo
http://www.wikidata.org/entity/Q90,Paris
http://www.wikidata.org/entity/Q30958,Philipsburg
http://www.wikidata.org/entity/Q1850,Phnom Penh
http://www.wikidata.org/entity/Q23564,Podgorica
http://www.wikidata.org/entity/Q3929,Port Louis
http://www.wikidata.org/entity/Q36526,Port Moresby
http://www.wikidata.org/entity/Q37806,Port Vila
http://www.wikidata.org/entity/Q39178,Port of Spain
http://www.wikidata.org/entity/Q34261,Port-au-Prince
http://www.wikidata.org/entity/Q3799,Porto-Novo
http://www.wikidata.org/entity/Q1085,Prague
http://www.wikidata.org/entity/Q3751,Praia
http://www.wikidata.org/entity/Q3926,Pretoria
http://www.wikidata.org/entity/Q25270,Pristina
http://www.wikidata.org/entity/Q18808,Pyongyang
http://www.wikidata.org/entity/Q2900,Quito
http://www.wikidata.org/entity/Q3551,Rabat
http://www.wikidata.org/entity/Q158119,Ramallah
http://www.wikidata.org/entity/Q1764,Reykjavík
http://www.wikidata.org/entity/Q322361,Ribe
http://www.wikidata.org/entity/Q1773,Riga
http://www.wikidata.org/entity/Q3692,Riyadh
http://www.wikidata.org/entity/Q33687,Rohri
http://www.wikidata.org/entity/Q220,Rome
http://www.wikidata.org/entity/Q36281,Roseau
http://www.wikidata.org/entity/Q36262,Saint John's
http://www.wikidata.org/entity/Q3070,San José
http://www.wikidata.org/entity/Q2884047,San Marcos de Apalache Historic State Park
http://www.wikidata.org/entity/Q1848,San Marino
http://www.wikidata.org/entity/Q3110,San Salvador
http://www.wikidata.org/entity/Q2471,Sanaa
http://www.wikidata.org/entity/Q2887,Santiago
http://www.wikidata.org/entity/Q34820,Santo Domingo
http://www.wikidata.org/entity/Q11194,Sarajevo
http://www.wikidata.org/entity/Q269808,Seborga
http://www.wikidata.org/entity/Q8684,Seoul
http://www.wikidata.org/entity/Q608415,Shuri
http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q384,Skopje
http://www.wikidata.org/entity/Q472,Sofia
http://www.wikidata.org/entity/Q131233,South Tarawa
http://www.wikidata.org/entity/Q41963,Sri Jayawardenepura Kotte
http://www.wikidata.org/entity/Q41547,St. George's
http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q2907,Sucre
http://www.wikidata.org/entity/Q180773,Susa
http://www.wikidata.org/entity/Q38807,Suva
http://www.wikidata.org/entity/Q3932,São Tomé
http://www.wikidata.org/entity/Q16078002,Tainan Prefecture
http://www.wikidata.org/entity/Q1867,Taipei
http://www.wikidata.org/entity/Q15935383,Taipei Prefecture
http://www.wikidata.org/entity/Q1770,Tallinn
http://www.wikidata.org/entity/Q2486,Tarawa
http://www.wikidata.org/entity/Q269,Tashkent
http://www.wikidata.org/entity/Q994,Tbilisi
http://www.wikidata.org/entity/Q3238,Tegucigalpa
http://www.wikidata.org/entity/Q3616,Tehran
http://www.wikidata.org/entity/Q9270,Thimphu
http://www.wikidata.org/entity/Q19689,Tirana
http://www.wikidata.org/entity/Q132572,Tiraspol
http://www.wikidata.org/entity/Q1490,Tokyo
http://www.wikidata.org/entity/Q3579,Tripoli
http://www.wikidata.org/entity/Q79863,Tskhinvali
http://www.wikidata.org/entity/Q3572,Tunis
http://www.wikidata.org/entity/Q10704,Tórshavn
http://www.wikidata.org/entity/Q23430,Ulaanbaatar
http://www.wikidata.org/entity/Q1844,Vaduz
http://www.wikidata.org/entity/Q23800,Valletta
http://www.wikidata.org/entity/Q3940,Victoria
http://www.wikidata.org/entity/Q1741,Vienna
http://www.wikidata.org/entity/Q9326,Vientiane
http://www.wikidata.org/entity/Q216,Vilnius
http://www.wikidata.org/entity/Q270,Warsaw
http://www.wikidata.org/entity/Q61,"Washington, D.C."
http://www.wikidata.org/entity/Q23661,Wellington
http://www.wikidata.org/entity/Q3935,Windhoek
http://www.wikidata.org/entity/Q42757437,World Headquarters of the Bektashi
http://www.wikidata.org/entity/Q3768,Yamoussoukro
http://www.wikidata.org/entity/Q3808,Yaoundé
http://www.wikidata.org/entity/Q31026,Yaren District
http://www.wikidata.org/entity/Q1953,Yerevan
http://www.wikidata.org/entity/Q1435,Zagreb
