item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q39,Switzerland,country in Central Europe
http://www.wikidata.org/entity/Q40,Austria,country in Central Europe
http://www.wikidata.org/entity/Q41,Greece,country in Southeast Europe
http://www.wikidata.org/entity/Q43,Turkey,country straddling Southeast Europe and West Asia
http://www.wikidata.org/entity/Q45,Portugal,country in Southwestern Europe
http://www.wikidata.org/entity/Q55,Netherlands,country in Northwestern Europe with territories in the Caribbean
http://www.wikidata.org/entity/Q77,Uruguay,sovereign state in South America
http://www.wikidata.org/entity/Q79,Egypt,country in Northeast Africa and Southwest Asia
http://www.wikidata.org/entity/Q96,Mexico,country in North America
http://www.wikidata.org/entity/Q11352710,Ikikoku,Historical country in Japan
http://www.wikidata.org/entity/Q11458165,Tsukaikoku,Ancient Japanese Island State
http://www.wikidata.org/entity/Q124153644,Chinland,self-declared state in Southeast Asia
http://www.wikidata.org/entity/Q124535978,Ashkenaz,biblical kingdom (book of Jeremiah)
http://www.wikidata.org/entity/Q124536190,Havilah,land in Arabia
http://www.wikidata.org/entity/Q124943,Kingdom of Egypt,20th century North African kingdom
http://www.wikidata.org/entity/Q125422413,Persia,Perse (1502-1935)
http://www.wikidata.org/entity/Q127861,Khedivate of Egypt,1867-1914 monarchy in Northeastern Africa
http://www.wikidata.org/entity/Q130340667,Sovereign State of the Bektashi Order,European micro-state planned for the Bektashi Sufi movement
http://www.wikidata.org/entity/Q131839713,Kingdom of Patones,former country in Modern Day Spain
http://www.wikidata.org/entity/Q14905932,Republic of Cuba,historical period in Cuba between 20 May 1902 and 1 January 1959
http://www.wikidata.org/entity/Q160307,Fatimid Caliphate,Shia Islamic caliphate (909–1171)
http://www.wikidata.org/entity/Q16674377,Federal Islamic Republic of the Comoros,Former African country
http://www.wikidata.org/entity/Q219060,Palestine,country in West Asia
http://www.wikidata.org/entity/Q2641492,Triveneto,historical region in North-Eastern Italy
http://www.wikidata.org/entity/Q28406119,Free Republic of the Congo,former rival government in the Democratic Republic of the Congo
http://www.wikidata.org/entity/Q2969231,Liuqiu,historical realm
http://www.wikidata.org/entity/Q319881,Republic of Formosa,republic created to resist Japanese occupation
http://www.wikidata.org/entity/Q370173,Sultanate of Egypt,1914-1922 sultanate in Northeastern Africa
http://www.wikidata.org/entity/Q63135869,Ayyubid Sultanate,state governed by the Ayyubid dynasty in the 12th and 13th centuries
http://www.wikidata.org/entity/Q6744020,Mallabhum,"kingdom ruled by the Malla kings of Bishnupur, in present-day West Bengal, India"
http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,Kingdom of Denmark and its autonomous territories
http://www.wikidata.org/entity/Q854850,Bharatpur State,former princely state in modern Rajasthan
http://www.wikidata.org/entity/Q907112,Transnistria,Russian-occupied territory in Moldova
http://www.wikidata.org/entity/Q97704156,Republic of Haiti,state in southwestern Hispaniola from 1806 to 1820
http://www.wikidata.org/entity/Q1000,Gabon,country on the Atlantic coast of Central Africa
http://www.wikidata.org/entity/Q1005,The Gambia,sovereign state in West Africa
http://www.wikidata.org/entity/Q1006,Guinea,sovereign state in West Africa
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,sovereign state in Western Africa
http://www.wikidata.org/entity/Q1008,Ivory Coast,sovereign state in West Africa
http://www.wikidata.org/entity/Q1009,Cameroon,sovereign state in West-Central Africa
http://www.wikidata.org/entity/Q1011,Cape Verde,sovereign state comprising ten islands off the Western coast of Africa
http://www.wikidata.org/entity/Q1013,Lesotho,sovereign state in southern Africa
http://www.wikidata.org/entity/Q1014,Liberia,sovereign state in West Africa
http://www.wikidata.org/entity/Q1016,Libya,sovereign state in North Africa
http://www.wikidata.org/entity/Q1019,Madagascar,"island sovereign state off the coast of Southeast Africa, in the Indian Ocean"
http://www.wikidata.org/entity/Q1020,Malawi,sovereign state in Africa
http://www.wikidata.org/entity/Q1025,Mauritania,sovereign state in West Africa and North Africa
http://www.wikidata.org/entity/Q1027,Mauritius,island sovereign state off of East Africa in the Indian Ocean
http://www.wikidata.org/entity/Q1028,Morocco,sovereign state in North Africa
http://www.wikidata.org/entity/Q1029,Mozambique,country in Southeastern Africa
http://www.wikidata.org/entity/Q1030,Namibia,country in Southern Africa
http://www.wikidata.org/entity/Q1032,Niger,sovereign state in western Africa
http://www.wikidata.org/entity/Q1033,Nigeria,sovereign state in West Africa
http://www.wikidata.org/entity/Q1036,Uganda,country in East-central Africa
http://www.wikidata.org/entity/Q1037,Rwanda,sovereign state in East Africa
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,island sovereign state in Africa
http://www.wikidata.org/entity/Q1041,Senegal,country on the coast of West Africa
http://www.wikidata.org/entity/Q1042,Seychelles,island sovereign state off the eastern coast of Africa
http://www.wikidata.org/entity/Q1044,Sierra Leone,sovereign state in West Africa
http://www.wikidata.org/entity/Q1045,Somalia,sovereign state in Africa
http://www.wikidata.org/entity/Q1049,Sudan,country in Northeast Africa
http://www.wikidata.org/entity/Q1050,Eswatini,sovereign state in southern Africa
http://www.wikidata.org/entity/Q1246,Kosovo,country in southeastern Europe
http://www.wikidata.org/entity/Q1410,Gibraltar,British overseas territory on the coast of Spain
http://www.wikidata.org/entity/Q18097,Korea,region in East Asia
http://www.wikidata.org/entity/Q21203,Aruba,Caribbean island constituent country of the Kingdom of the Netherlands
http://www.wikidata.org/entity/Q23427,South Ossetia,state in the South Caucasus
http://www.wikidata.org/entity/Q258,South Africa,country in southern Africa
http://www.wikidata.org/entity/Q262,Algeria,country in North Africa
http://www.wikidata.org/entity/Q26273,Sint Maarten,"country on the Caribbean island of Saint Martin, part of the Kingdom of the Netherlands"
http://www.wikidata.org/entity/Q265,Uzbekistan,sovereign state in Central Asia
http://www.wikidata.org/entity/Q26988,Cook Islands,country in the South Pacific Ocean in free association with New Zealand
http://www.wikidata.org/entity/Q28025,Ryukyu Kingdom,historical kingdom in parts of present-day Japan
http://www.wikidata.org/entity/Q298,Chile,country in South America
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,transcontinental sovereign state and constitutional monarchy
http://www.wikidata.org/entity/Q334,Singapore,sovereign island country and city-state in maritime Southeast Asia
http://www.wikidata.org/entity/Q34020,Niue,island country in the South Pacific Ocean in free association with New Zealand
http://www.wikidata.org/entity/Q347,Liechtenstein,country in Central Europe
http://www.wikidata.org/entity/Q398,Bahrain,country in the Persian Gulf
http://www.wikidata.org/entity/Q399,Armenia,sovereign state in the South Caucasus region of Eurasia
http://www.wikidata.org/entity/Q403,Serbia,country in Southeast Europe
http://www.wikidata.org/entity/Q408,Australia,country in Oceania
http://www.wikidata.org/entity/Q414,Argentina,sovereign state in South America
http://www.wikidata.org/entity/Q419,Peru,sovereign state in South America
http://www.wikidata.org/entity/Q423,North Korea,sovereign state in East Asia
http://www.wikidata.org/entity/Q424,Cambodia,country in Southeast Asia
http://www.wikidata.org/entity/Q43287,German Empire,German nation-state in Central Europe from 1871 to 1918
http://www.wikidata.org/entity/Q44826,Tarshish,a land mentioned in the bible
http://www.wikidata.org/entity/Q4628,Faroe Islands,North Atlantic archipelago organized as an autonomous constituent country of the Kingdom of Denmark
http://www.wikidata.org/entity/Q574,Timor-Leste,sovereign state situated on several islands in Southeast Asia
http://www.wikidata.org/entity/Q657,Chad,sovereign state in central Africa
http://www.wikidata.org/entity/Q664,New Zealand,island country in the southwest Pacific Ocean
http://www.wikidata.org/entity/Q668,India,country in South Asia
http://www.wikidata.org/entity/Q672,Tuvalu,island sovereign state in Oceania
http://www.wikidata.org/entity/Q678,Tonga,"sovereign state in Oceania, situated on an archipelago"
http://www.wikidata.org/entity/Q683,Samoa,sovereign state made up of six islands in the Pacific Ocean
http://www.wikidata.org/entity/Q685,Solomon Islands,island sovereign state in Oceania
http://www.wikidata.org/entity/Q686,Vanuatu,island country in Oceania
http://www.wikidata.org/entity/Q691,Papua New Guinea,country in Oceania
http://www.wikidata.org/entity/Q695,Palau,island sovereign state in Oceania
http://www.wikidata.org/entity/Q697,Nauru,country in Oceania
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,island sovereign state in Oceania
http://www.wikidata.org/entity/Q709,Marshall Islands,country near the equator in the Pacific Ocean
http://www.wikidata.org/entity/Q710,Kiribati,island sovereign state in the central Pacific Ocean
http://www.wikidata.org/entity/Q711,Mongolia,country in East Asia
http://www.wikidata.org/entity/Q712,Fiji,island sovereign state in Oceania
http://www.wikidata.org/entity/Q717,Venezuela,sovereign state in northern South America
http://www.wikidata.org/entity/Q730,Suriname,country in South America
http://www.wikidata.org/entity/Q733,Paraguay,sovereign state in South America
http://www.wikidata.org/entity/Q734,Guyana,country in South America
http://www.wikidata.org/entity/Q736,Ecuador,sovereign state in South America
http://www.wikidata.org/entity/Q739,Colombia,sovereign state in South America
http://www.wikidata.org/entity/Q750,Bolivia,sovereign state in South America
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,island sovereign state in the Caribbean
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,island sovereign state in the Caribbean Sea
http://www.wikidata.org/entity/Q760,Saint Lucia,island sovereign state in the Caribbean Sea
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,island sovereign state in the Caribbean Sea
http://www.wikidata.org/entity/Q766,Jamaica,island state in the Caribbean Sea
http://www.wikidata.org/entity/Q769,Grenada,island sovereign state in the Caribbean Sea
http://www.wikidata.org/entity/Q774,Guatemala,sovereign state in Central America
http://www.wikidata.org/entity/Q778,The Bahamas,island sovereign state in the West Indies
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,island sovereign state in the Caribbean Sea
http://www.wikidata.org/entity/Q783,Honduras,sovereign state in Central America
http://www.wikidata.org/entity/Q784,Dominica,island sovereign state in the Caribbean Sea
http://www.wikidata.org/entity/Q786,Dominican Republic,island sovereign state in the Caribbean Sea
http://www.wikidata.org/entity/Q790,Haiti,country in the Caribbean Sea
http://www.wikidata.org/entity/Q792,El Salvador,sovereign state in Central America
http://www.wikidata.org/entity/Q794,Iran,country in Western Asia
http://www.wikidata.org/entity/Q796,Iraq,sovereign state in Western Asia
http://www.wikidata.org/entity/Q800,Costa Rica,country in Central America
http://www.wikidata.org/entity/Q801,Israel,country in the Middle East
http://www.wikidata.org/entity/Q804,Panama,sovereign state in Central America
http://www.wikidata.org/entity/Q805,Yemen,country in West Asia
http://www.wikidata.org/entity/Q810,Jordan,country in the Middle East
http://www.wikidata.org/entity/Q811,Nicaragua,sovereign state in Central America
http://www.wikidata.org/entity/Q813,Kyrgyzstan,sovereign state in Central Asia
http://www.wikidata.org/entity/Q817,Kuwait,sovereign state in Western Asia
http://www.wikidata.org/entity/Q819,Laos,country in Southeast Asia
http://www.wikidata.org/entity/Q822,Lebanon,sovereign state in Near East
http://www.wikidata.org/entity/Q826,Maldives,"sovereign state in South Asia, situated on an archipelago in the Arabian Sea"
http://www.wikidata.org/entity/Q833,Malaysia,country in Southeast Asia
http://www.wikidata.org/entity/Q836,Myanmar,country in Southeast Asia
http://www.wikidata.org/entity/Q837,Nepal,country in South Asia
http://www.wikidata.org/entity/Q842,Oman,sovereign state in western Asia
http://www.wikidata.org/entity/Q843,Pakistan,sovereign state in South Asia
http://www.wikidata.org/entity/Q846,Qatar,country in West Asia
http://www.wikidata.org/entity/Q851,Saudi Arabia,country in West Asia
http://www.wikidata.org/entity/Q854,Sri Lanka,island country in South Asia
http://www.wikidata.org/entity/Q858,Syria,country in West Asia
http://www.wikidata.org/entity/Q863,Tajikistan,sovereign state in Central Asia
http://www.wikidata.org/entity/Q865,Taiwan,country in East Asia
http://www.wikidata.org/entity/Q869,Thailand,country in Southeast Asia
http://www.wikidata.org/entity/Q874,Turkmenistan,country in Central Asia
http://www.wikidata.org/entity/Q878,United Arab Emirates,sovereign state in southwest Asia
http://www.wikidata.org/entity/Q881,Vietnam,country in Southeast Asia
http://www.wikidata.org/entity/Q884,South Korea,country in East Asia
http://www.wikidata.org/entity/Q889,Afghanistan,country in Central and South Asia
http://www.wikidata.org/entity/Q902,Bangladesh,country in South Asia
http://www.wikidata.org/entity/Q912,Mali,country in West Africa
http://www.wikidata.org/entity/Q916,Angola,country on the west coast of Southern Africa
http://www.wikidata.org/entity/Q917,Bhutan,sovereign state in South Asia
http://www.wikidata.org/entity/Q921,Brunei,"sovereign country and sultanate on the island of Borneo in south-east Asia, member of the Commonwealth of Nations"
http://www.wikidata.org/entity/Q924,Tanzania,country in East Africa
http://www.wikidata.org/entity/Q928,Philippines,archipelagic country in Southeast Asia
http://www.wikidata.org/entity/Q929,Central African Republic,country in Central Africa
http://www.wikidata.org/entity/Q945,Togo,country in West Africa
http://www.wikidata.org/entity/Q948,Tunisia,country in North Africa
http://www.wikidata.org/entity/Q953,Zambia,country at the crossroads of Central and Southern Africa
http://www.wikidata.org/entity/Q954,Zimbabwe,sovereign state in southern Africa
http://www.wikidata.org/entity/Q958,South Sudan,country in East Africa
http://www.wikidata.org/entity/Q962,Benin,sovereign state in West Africa
http://www.wikidata.org/entity/Q963,Botswana,sovereign state in Southern Africa
http://www.wikidata.org/entity/Q965,Burkina Faso,sovereign state in Africa
http://www.wikidata.org/entity/Q967,Burundi,sovereign state in Africa
http://www.wikidata.org/entity/Q970,Comoros,sovereign state situated on an archipelago in the Indian Ocean off the eastern coast of Africa
http://www.wikidata.org/entity/Q971,Republic of the Congo,"country in Central Africa, capital Brazzaville"
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,country in Central Africa
http://www.wikidata.org/entity/Q977,Djibouti,sovereign state in Africa
http://www.wikidata.org/entity/Q983,Equatorial Guinea,sovereign state in Africa
http://www.wikidata.org/entity/Q986,Eritrea,country in the Horn of Africa
