language,languageLabel,languageDescription
http://www.wikidata.org/entity/Q33070,Balinese,Malayo-Polynesian language spoken on the island of Bali
http://www.wikidata.org/entity/Q56240,Tunisian Arabic,arabic dialect spoken in Tunisia
http://www.wikidata.org/entity/Q56231,Hassaniya Arabic,Maghrebi dialect of the Arabic language mainly spoken in Mauritania and Western Sahara
http://www.wikidata.org/entity/Q33151,Banjar,"Austronesian language spoken in Kalimantan, Indonesia"
http://www.wikidata.org/entity/Q33158,Chhattisgarhi,official language in the Indian state of Chhattisgarh
http://www.wikidata.org/entity/Q36943,Wolayttattuwa,language
http://www.wikidata.org/entity/Q49741,Central Atlas Tamazight,Berber language of the Afro-Asiatic language family
http://www.wikidata.org/entity/Q33202,Brahui,"Dravidian language spoken by Brahui people of Pakistan, Afghanistan and Iran, and expatriate communities in Qatar, United Arab Emirates, and Iraq"
http://www.wikidata.org/entity/Q33268,Bhojpuri,Indo-Aryan language native to India and Nepal
http://www.wikidata.org/entity/Q256,Turkish,Oghuz Turkic language of the Turkish people
http://www.wikidata.org/entity/Q33350,Chechen,Northeast Caucasian language spoken mostly in Chechnya and by Chechen people
http://www.wikidata.org/entity/Q33229,Bhili,"Western Indo-Aryan language spoken in west-central India, in the region east of Ahmedabad"
http://www.wikidata.org/entity/Q33223,Bodo,Tibeto-Burman language of the Bodo people of north-eastern India and Nepal
http://www.wikidata.org/entity/Q33368,Luganda,Bantu language of Uganda
http://www.wikidata.org/entity/Q33459,Garhwali,Central Pahari language belonging to the Northern Zone of Indo-Aryan languages
http://www.wikidata.org/entity/Q33273,Chewa,language of the Bantu language family
http://www.wikidata.org/entity/Q809,Polish,West Slavic language
http://www.wikidata.org/entity/Q33475,Gan Chinese,member of the Sinitic languages of the Sino-Tibetan language family spoken as the native language by the people in the Jiangxi province of China
http://www.wikidata.org/entity/Q33474,Lambadi,language of India
http://www.wikidata.org/entity/Q652,Italian,Romance language
http://www.wikidata.org/entity/Q33417,Isan,Thai dialects of the Lao language
http://www.wikidata.org/entity/Q33413,Malvi,language
http://www.wikidata.org/entity/Q33454,Fula,language of West Africa of the Senegambian branch of the Niger–Congo language family
http://www.wikidata.org/entity/Q33375,Hakka Chinese,primary branch of Chinese originating in Southern China
http://www.wikidata.org/entity/Q33583,Kirundi,Bantu language
http://www.wikidata.org/entity/Q33522,Kabardian,Northwest Caucasian language
http://www.wikidata.org/entity/Q1321,Spanish,Romance language originating in the Iberian Peninsula
http://www.wikidata.org/entity/Q33410,Haryanvi,Western Hindi language closely related to Hindi widely spoken in the North Indian state of Haryana and in Delhi
http://www.wikidata.org/entity/Q33398,Hazaragi,Persian dialect spoken by the Hazara people
http://www.wikidata.org/entity/Q33587,Gikuyu,Bantu language in Kenya
http://www.wikidata.org/entity/Q33643,Makassar,"Makassaric language spoken in South Sulawesi, Indonesia"
http://www.wikidata.org/entity/Q33552,Kashmiri,language from the Dardic subgroup of the Indo-Aryan languages
http://www.wikidata.org/entity/Q33549,Javanese,Austronesian language
http://www.wikidata.org/entity/Q33529,Kumaoni,Indo-Aryan language
http://www.wikidata.org/entity/Q33573,Kinyarwanda,"Bantu language spoken in Central Africa, official in Rwanda"
http://www.wikidata.org/entity/Q1571,Marathi,Indo-Aryan language
http://www.wikidata.org/entity/Q4627,Aymara,native language in South America
http://www.wikidata.org/entity/Q33673,Kannada,Dravidian language native to South India
http://www.wikidata.org/entity/Q1412,Finnish,Finno-Ugric language mostly spoken in Finland
http://www.wikidata.org/entity/Q5137,Gujarati,Indo-Aryan language that is spoken on the state of Gujarat
http://www.wikidata.org/entity/Q5218,Quechua,language family spoken primarily in the Andes region of South America
http://www.wikidata.org/entity/Q33678,Mandinka,Mande language spoken by the Mandinka people of West Africa
http://www.wikidata.org/entity/Q5287,Japanese,language spoken in East Asia
http://www.wikidata.org/entity/Q35172,Makonde,Bantu language of southeast Tanzania and northern Mozambique
http://www.wikidata.org/entity/Q5885,Tamil,Dravidian language native to South India and Sri Lanka
http://www.wikidata.org/entity/Q7411,Dutch,West Germanic language
http://www.wikidata.org/entity/Q188,German,West Germanic language spoken mainly in Central Europe
http://www.wikidata.org/entity/Q35100,Bouyei,language
http://www.wikidata.org/entity/Q35147,Cusco Quechua,language
http://www.wikidata.org/entity/Q35107,Baoulé,language spoken in central and southern Ivory Coast
http://www.wikidata.org/entity/Q35035,Adja,language
http://www.wikidata.org/entity/Q7838,Swahili,Bantu language spoken mainly in East Africa
http://www.wikidata.org/entity/Q7737,Russian,East Slavic language
http://www.wikidata.org/entity/Q7913,Romanian,"Eastern Romance language, official in Romania and Moldova"
http://www.wikidata.org/entity/Q7930,Malagasy,language spoken in Madagascar
http://www.wikidata.org/entity/Q8097,Telugu,Dravidian language native to South India
http://www.wikidata.org/entity/Q7976,American English,set of dialects of the English language spoken in the United States
http://www.wikidata.org/entity/Q56356571,New Persian,modern stage of the Persian language
http://www.wikidata.org/entity/Q2891049,Mandailing Batak,Batak language spoken by the Mandailing Batak people
http://www.wikidata.org/entity/Q5146,Portuguese,Western Romance language of the Indo-European language family
http://www.wikidata.org/entity/Q8748,Albanian,"Indo-European language, spoken in Albania, Kosovo, North Macedonia and Montenegro as well as Italy, Croatia, Romania and Serbia"
http://www.wikidata.org/entity/Q33726,Khandeshi,language
http://www.wikidata.org/entity/Q33702,Kongo,"Bantu language spoken in Angola, Congo Brazzaville and Congo Kinshasa"
http://www.wikidata.org/entity/Q33823,Nepali,official language of Nepal
http://www.wikidata.org/entity/Q33879,Pangasinan,Austronesian language spoken in the province of Pangasinan by Pangasinense people
http://www.wikidata.org/entity/Q33786,Sidamo,language
http://www.wikidata.org/entity/Q33728,Magahi,Indo-Aryan language spoken in India
http://www.wikidata.org/entity/Q8785,Armenian,Indo-European language
http://www.wikidata.org/entity/Q33882,Makhuwa,Bantu language
http://www.wikidata.org/entity/Q33902,Saraiki,Indo-Aryan language spoken in Pakistan
http://www.wikidata.org/entity/Q33973,Sicilian,Italo-Dalmatian language spoken in Southern Italy
http://www.wikidata.org/entity/Q7026,Catalan,Western Romance language
http://www.wikidata.org/entity/Q33997,Sindhi,Indo-Aryan language spoken in Pakistan and India
http://www.wikidata.org/entity/Q34004,Shona,Bantu language of Zimbabwe and Mozambique
http://www.wikidata.org/entity/Q33965,Santali,"Kherwari language of the Austro-Asiatic family spoken by around 6.2 million people in India, Bangladesh, Bhutan and Nepal"
http://www.wikidata.org/entity/Q8798,Ukrainian,East Slavic language
http://www.wikidata.org/entity/Q34002,Sundanese,language spoken in Indonesia
http://www.wikidata.org/entity/Q9035,Danish,North Germanic language spoken in Northern Europe
http://www.wikidata.org/entity/Q34142,Tausug,Visayan language spoken in the Philippines and Malaysia
http://www.wikidata.org/entity/Q34138,Tumbuka,"Niger-Congo language originating in parts of Malawi, Zambia, and Tanzania"
http://www.wikidata.org/entity/Q34057,Tagalog,Austronesian language spoken as a first language by the ethnic Tagalog people
http://www.wikidata.org/entity/Q9027,Swedish,North Germanic language spoken in Sweden and Finland
http://www.wikidata.org/entity/Q34271,Tibetan,Tibeto-Burman language
http://www.wikidata.org/entity/Q7918,Bulgarian,South Slavic language
http://www.wikidata.org/entity/Q34257,Wolof,"language of Senegal, the Gambia, and Mauritania"
http://www.wikidata.org/entity/Q9063,Slovene,South Slavic language spoken primarily in Slovenia
http://www.wikidata.org/entity/Q34340,Sesotho,Southern Bantu language
http://www.wikidata.org/entity/Q9043,Norwegian,North Germanic language spoken in Norway
http://www.wikidata.org/entity/Q9056,Czech,West Slavic language
http://www.wikidata.org/entity/Q8786,Alsatian,"Low Alemannic German dialect spoken in most of Alsace, a region in eastern France"
http://www.wikidata.org/entity/Q3436689,Brazilian Sign Language,sign language of Brazil
http://www.wikidata.org/entity/Q3438770,Karai-karai,language spoken in Nigeria
http://www.wikidata.org/entity/Q3449805,South Azerbaijani,Turkic language
http://www.wikidata.org/entity/Q33655,Nigerian Pidgin,English-based creole languages
http://www.wikidata.org/entity/Q9142,Irish,language native to Ireland
http://www.wikidata.org/entity/Q9072,Estonian,Finno-Ugric language
http://www.wikidata.org/entity/Q34239,Konkani,Indo-Aryan language spoken in India
http://www.wikidata.org/entity/Q34152,Tachelhit,Berber language of southwestern Morocco
http://www.wikidata.org/entity/Q34311,Yoruba,Niger-Congo language spoken in West Africa
http://www.wikidata.org/entity/Q36217,Lingala,Bantu language spoken in western Central Africa
http://www.wikidata.org/entity/Q9058,Slovak,West Slavic language spoken in Slovakia
http://www.wikidata.org/entity/Q36109,Maithili,Indo-Aryan language spoken in India and Nepal
http://www.wikidata.org/entity/Q36163,Kurmanji,"Kurdish language spoken in eastern Turkey, northern Syria, northern Iraq and in Armenia"
http://www.wikidata.org/entity/Q35159,Dagaare,language of the Dagaara people in Ghana and Burkina Faso
http://www.wikidata.org/entity/Q34926,Acholi,Southern Luo dialect
http://www.wikidata.org/entity/Q34251,Tulu,Indian Dravidian language of Tulu Nadu region
http://www.wikidata.org/entity/Q9078,Latvian,"Baltic language, official in Latvia and the European Union"
http://www.wikidata.org/entity/Q9129,Greek,Indo-European language
http://www.wikidata.org/entity/Q9168,Persian,Western Iranian language
http://www.wikidata.org/entity/Q9083,Lithuanian,Baltic language spoken in Lithuania
http://www.wikidata.org/entity/Q36213,Madurese,Malayo-Polynesian language spoken in Madura
http://www.wikidata.org/entity/Q36495,Southern Min,branch of the Min Chinese language
http://www.wikidata.org/entity/Q36494,K’iche’,Mayan language spoken by the K'iche' people
http://www.wikidata.org/entity/Q9067,Hungarian,Uralic language
http://www.wikidata.org/entity/Q35394,Domari,language
http://www.wikidata.org/entity/Q35853,Kabyle,Berber language spoken by the Kabyle people
http://www.wikidata.org/entity/Q9091,Belarusian,East Slavic language
http://www.wikidata.org/entity/Q36236,Malayalam,Dravidian language of India
http://www.wikidata.org/entity/Q36850,Twi,dialect of the Akan language in Ghana
http://www.wikidata.org/entity/Q9199,Vietnamese,Austroasiatic language originating in Vietnam
http://www.wikidata.org/entity/Q35978,Hiligaynon,Hiligaynon language spoken in the Western Visayas region of the Philippines
http://www.wikidata.org/entity/Q9176,Korean,language spoken in Korean Peninsula and some parts of North-eastern China
http://www.wikidata.org/entity/Q10867404,Sabah Malay,pidginised local trade language of Sabah
http://www.wikidata.org/entity/Q5555465,Ghanaian Pidgin English,creole language
http://www.wikidata.org/entity/Q36455,Eastern Min,branch of the Min group of Sinitic languages of China
http://www.wikidata.org/entity/Q3270727,Kiga,language
http://www.wikidata.org/entity/Q3197533,Swahili,"language with code ""swh"", official variety of swahili"
http://www.wikidata.org/entity/Q3236789,Muong,Austroasiatic language spoken in Vietnam
http://www.wikidata.org/entity/Q9186,Cantonese,"variety of Yue Chinese spoken in Guangzhou, Hong Kong, and Macau"
http://www.wikidata.org/entity/Q58635,Punjabi,Indo-Aryan language spoken in the Punjab region of Pakistan and India
http://www.wikidata.org/entity/Q9211,Lao,Kra–Dai language of Southeast Asia
http://www.wikidata.org/entity/Q9205,Khmer,Austroasiatic language of Cambodia
http://www.wikidata.org/entity/Q36983,Umbundu,language
http://www.wikidata.org/entity/Q56475,Hausa,Chadic language spoken by the Hausa people
http://www.wikidata.org/entity/Q56232,Mesopotamian Arabic,continuum of mutually-intelligible varieties of Arabic
http://www.wikidata.org/entity/Q9192,Mandarin,major branch of Chinese spoken across most of northern and southwestern China
http://www.wikidata.org/entity/Q565110,Northern Thai,language
http://www.wikidata.org/entity/Q382273,Hindko,Indo-Aryan language spoken in Pakistan
http://www.wikidata.org/entity/Q58680,Pashto,Indo-Aryan language of Afghanistan and Pakistan
http://www.wikidata.org/entity/Q56482,Shan,"Kra-Dai language mainly spoken in Shan State, Myanmar"
http://www.wikidata.org/entity/Q56497,Shuwa,"variety of Sudanic Arabic spoken in Chad, western Sudan, eastern Nigeria, and northern Cameroon"
http://www.wikidata.org/entity/Q15085,Piedmontese,Romance language spoken mainly in Italy
http://www.wikidata.org/entity/Q56579,Taʽizzi-Adeni Arabic,dialect of Arabic spoken primarily in the Republic of Yemen and the Republic of Djibouti
http://www.wikidata.org/entity/Q56593,Levantine Arabic,Arabic variety spoken in the Levant
http://www.wikidata.org/entity/Q56578,Sanʽani Arabic,form of Yemeni Arabic spoken in Sanaa
http://www.wikidata.org/entity/Q633359,Dhundari,Rajasthani variety
http://www.wikidata.org/entity/Q13389,Bashkir,Turkic language spoken in Russia
http://www.wikidata.org/entity/Q9228,Burmese,Sino-Tibetan language of Myanmar
http://www.wikidata.org/entity/Q100103,West Flemish,"Germanic language spoken in West Flanders, French Flanders and in the west of Zeelandic Flanders"
http://www.wikidata.org/entity/Q168446,West Low German,"Group of Low German dialects spoken in parts of the Netherlands, northwestern Germany and southern Denmark"
http://www.wikidata.org/entity/Q14196,Afrikaans,"West Germanic language, spoken in South Africa and Namibia"
http://www.wikidata.org/entity/Q178440,Dari,dialect of the Persian language spoken in Afghanistan
http://www.wikidata.org/entity/Q669431,Daknī,variety of Hindustani spoken in the Deccan region of India; native language of the Deccani people
http://www.wikidata.org/entity/Q699284,Upper Saxon,East Middle German dialect
http://www.wikidata.org/entity/Q9217,Thai,Tai language
http://www.wikidata.org/entity/Q56499,Algerian Arabic,Maghrebi dialect of the Arabic language spoken in Algeria
http://www.wikidata.org/entity/Q56573,Sudanese Arabic,language
http://www.wikidata.org/entity/Q765922,Nagpuri language,Eastern Indo-Aryan language
http://www.wikidata.org/entity/Q934541,Hainanese,group of Min Chinese varieties spoken in Hainan
http://www.wikidata.org/entity/Q9252,Kazakh,"one of the Turkic languages in Central Asia, the state language of Karakalpakstan"
http://www.wikidata.org/entity/Q27811,Afar,"Afro-Asiatic language spoken in Ethiopia, Djibouti and Eritrea"
http://www.wikidata.org/entity/Q1199751,Kelantan-Pattani Malay,"dialect of Malay spoken in Pattani, Kelantan, and Terengganu"
http://www.wikidata.org/entity/Q1057898,Emilian,"group of dialects of the Emilian-Romagnol language, mainly spoken in the Emilia region of Italy"
http://www.wikidata.org/entity/Q1066787,Southern Uzbek,Variant of the Uzbek language spoken in modern day Afghanistan
http://www.wikidata.org/entity/Q27683,Acehnese,Aceh-Chamic language spoken predominantly by the Acehnese ethnic group
http://www.wikidata.org/entity/Q3515311,North Azerbaijani,language
http://www.wikidata.org/entity/Q19933293,Northern Luri,language
http://www.wikidata.org/entity/Q3510366,Hadhrami Arabic,variety of the Arabic language
http://www.wikidata.org/entity/Q9288,Hebrew,Northwest Semitic language
http://www.wikidata.org/entity/Q9246,Mongolian,official language of Mongolia
http://www.wikidata.org/entity/Q25433,Low German,West Germanic language spoken mainly in northern Germany and the eastern part of the Netherlands
http://www.wikidata.org/entity/Q1775361,Gondi,South-Central-Dravidian language spoken by the Gondi people
http://www.wikidata.org/entity/Q2044560,Sylheti,Indo-Aryan language
http://www.wikidata.org/entity/Q28026,Akan,language of Akan lands in Ghana
http://www.wikidata.org/entity/Q25285,Tatar,Turkic language spoken by Tatars
http://www.wikidata.org/entity/Q9255,Kyrgyz,Kipchak Turkic language of Central Asia
http://www.wikidata.org/entity/Q25167,Bokmål,one of two official written standards for the Norwegian language
http://www.wikidata.org/entity/Q9267,Turkmen,Oghuz Turkic language of Central Asia
http://www.wikidata.org/entity/Q9299,Serbian,standardized variety of Serbo-Croatian language used by Serbs
http://www.wikidata.org/entity/Q9296,Macedonian,South Slavic language mostly spoken in North Macedonia
http://www.wikidata.org/entity/Q14549,Scots,West Germanic language
http://www.wikidata.org/entity/Q2992857,Mewari,Indo-Aryan language of India
http://www.wikidata.org/entity/Q3111668,Gun,language spoken in Nigeria and Benin
http://www.wikidata.org/entity/Q3241177,Rohingya,Eastern Indo-Aryan language
http://www.wikidata.org/entity/Q29540,Bavarian,major group of Upper German varieties spoken in the southeast of the German language area Bavaria
http://www.wikidata.org/entity/Q29919,Egyptian Arabic,Arabic dialect spoken in Egypt
http://www.wikidata.org/entity/Q9292,Azerbaijani,Oghuz Turkic language
http://www.wikidata.org/entity/Q32704,Venda,language of the Venda people
http://www.wikidata.org/entity/Q2085051,Tswa,language
http://www.wikidata.org/entity/Q2511476,Tày,Tai language of Vietnam
http://www.wikidata.org/entity/Q2426319,Bagri,Indian language
http://www.wikidata.org/entity/Q2356364,Bagheli,language
http://www.wikidata.org/entity/Q1641543,Romagnol,"Romance language belonging to the Gallo-Italic family, spoken in the Emilia-Romagna region and in San Marino Republic"
http://www.wikidata.org/entity/Q1496597,Southern Kurdish,"variety of Kurdish comprising several dialects of Northwestern Iranian languages spoken in the south of Kurdistan (in upper Mesopotamia, to the west of Iran and east of Iraq)"
http://www.wikidata.org/entity/Q1420205,Pulaar,language spoken by Fula people and Tukolor
http://www.wikidata.org/entity/Q28244,Amharic,Semitic language of Ethiopia
http://www.wikidata.org/entity/Q9264,Uzbek,Turkic language
http://www.wikidata.org/entity/Q3327828,Mundari,Munda language spoken in eastern India
http://www.wikidata.org/entity/Q3307894,Hmong,West Hmongic dialect continuum
http://www.wikidata.org/entity/Q29579,Awadhi,Indo-Aryan language spoken in Northern India
http://www.wikidata.org/entity/Q1307730,South Bolivian Quechua,language
http://www.wikidata.org/entity/Q1364815,Karenic,language family
http://www.wikidata.org/entity/Q1294047,Sasak,"Bali–Sasak–Sumbawa language spoken by the Sasak ethnic group, native to Lombok Island"
http://www.wikidata.org/entity/Q33990,Susu,language
http://www.wikidata.org/entity/Q10179,Zulu,Nguni language of eastern South Africa and neighbouring countries
http://www.wikidata.org/entity/Q10199,Zazaki,Indo-European language spoken by Zaza people
http://www.wikidata.org/entity/Q9307,Galician,Western Ibero-Romance language
http://www.wikidata.org/entity/Q34014,Swazi,language of the Swazi people
http://www.wikidata.org/entity/Q2574767,Kamba,Bantu language spoken in Kenya
http://www.wikidata.org/entity/Q2638144,Sukuma,language
http://www.wikidata.org/entity/Q2605943,Mewati,Indo-Aryan language of India
http://www.wikidata.org/entity/Q2707343,Sebat Bet Gurage,Gurage language of Ethiopia
http://www.wikidata.org/entity/Q33976,Sardinian,Romance language indigenous to the island of Sardinia
http://www.wikidata.org/entity/Q32730,Dogri,Indo-Aryan language spoken in India and Pakistan
http://www.wikidata.org/entity/Q33017,Toba Batak,Batak language spoken by the Toba Batak people
http://www.wikidata.org/entity/Q30005,Ewe,Niger–Congo language spoken in southeastern Ghana and southern Togo
http://www.wikidata.org/entity/Q32238,Dagbani,Gur/Mabia language spoken in Ghana
http://www.wikidata.org/entity/Q34137,Tswana,Bantu language of Botswana and South Africa
http://www.wikidata.org/entity/Q32706,Dioula,"Mande language spoken in Burkina Faso, Côte d'Ivoire, and Mali"
http://www.wikidata.org/entity/Q29401,Assamese,"Indo-Aryan language spoken in Assam, India"
http://www.wikidata.org/entity/Q34065,Tuareg,group of closely related Berber languages and dialects
http://www.wikidata.org/entity/Q13955,Arabic,Semitic language and lingua franca of the Arab world
http://www.wikidata.org/entity/Q13216,Zhuang,any of various Tai languages used by the Zhuang people
http://www.wikidata.org/entity/Q13207,Runyankole,Bantu language spoken by the Nkore and Hema peoples of Southwestern Uganda
http://www.wikidata.org/entity/Q13300,Nahuatl,language of the Nahuan branch of the Uto-Aztecan language family
http://www.wikidata.org/entity/Q32724,Venetian,Romance language spoken in the Italian region of Veneto
http://www.wikidata.org/entity/Q13218,Xhosa,Nguni language of southern South Africa
http://www.wikidata.org/entity/Q33173,Chittagonian,language spoken throughout the Chittagong region
http://www.wikidata.org/entity/Q33025,Beja,Afro-Asiatic language of the southern coast of the Red Sea
http://www.wikidata.org/entity/Q33049,Balochi,"Northwestern Iranian language spoken in Pakistan, Iran and Afghanistan"
http://www.wikidata.org/entity/Q33052,Bemba,Bantu language spoken primarily in north-eastern Zambia by the Bemba people
http://www.wikidata.org/entity/Q9610,Bangla,Indo-Aryan language mostly spoken in Bangladesh and India
http://www.wikidata.org/entity/Q13324,Minangkabau,Malayic language spoken predominantly by the Minangkabau ethnic group
http://www.wikidata.org/entity/Q13356,Mazanderani,"Northwestern Iranian language spoken mainly in Iran's Mazandaran, Golestan, Gilan, Semnan, Tehran, Alborz and Qazvin  provinces"
http://www.wikidata.org/entity/Q13201,Romani,language of the Romani people belonging to the Indo-Aryan branch of the Indo-European language family
http://www.wikidata.org/entity/Q34124,Tigrinya,Semitic language spoken in Ethiopia and Eritrea
http://www.wikidata.org/entity/Q34101,Tonga,Bantu language of Zambia and Zimbabwe
http://www.wikidata.org/entity/Q34173,Luba-Kasai,Bantu language spoken in DR Congo
http://www.wikidata.org/entity/Q13196,Rajasthani,Indo-Aryan dialect cluster of northwest India
http://www.wikidata.org/entity/Q13267,Sinhala,insular Indo-Aryan language native to Sri Lanka
http://www.wikidata.org/entity/Q33239,Cebuano,Austronesian language spoken in the Philippines by Cebuanos and other ethnic groups
http://www.wikidata.org/entity/Q32641,Valencian,linguistic variety (dialect) and official name of the Catalan language spoken in the Valencian Community
http://www.wikidata.org/entity/Q33190,Bugis,South Sulawesi language predominantly spoken by the Bugis ethnic group
http://www.wikidata.org/entity/Q33243,Bambara,"western African language spoken in Mali, with SVO structure and two lexical tones"
http://www.wikidata.org/entity/Q33270,Ho,Munda language of the Austro-Asiatic language family spoken primarily in India
http://www.wikidata.org/entity/Q13263,Uyghur,Turkic language spoken by the Uyghur people
http://www.wikidata.org/entity/Q13220,Xiang Chinese,Chinese language spoken mainly in Hunan province
http://www.wikidata.org/entity/Q33274,Shawiya,Zenati variety of the Tamazight language spoken by the Shawi Berbers of the Awras region of eastern Algeria
http://www.wikidata.org/entity/Q33284,Central Bikol,Austronesian language spoken in the Philippines
http://www.wikidata.org/entity/Q34831,Bonol,Dialect of Akan
http://www.wikidata.org/entity/Q13275,Somali,Afroasiatic language belonging to the Cushitic branch
http://www.wikidata.org/entity/Q34174,Tarifit,Zenati Berber language of northern Morocco
http://www.wikidata.org/entity/Q34235,Nuosu,the prestige language of the Yi people
http://www.wikidata.org/entity/Q33291,Fon,part of the Gbe language cluster and belongs to the Volta–Niger branch of the Niger–Congo languages
http://www.wikidata.org/entity/Q34290,Wu Chinese,Sinitic language
http://www.wikidata.org/entity/Q34279,Waray,Visayan language primarily spoken in the islands of Samar and Eastern Leyte
http://www.wikidata.org/entity/Q33219,Banyumasan Javanese,"dialect of Javanese spoken in Java, Indonesia"
http://www.wikidata.org/entity/Q33424,Iban,Coastal Dayak language spoken by Iban people
http://www.wikidata.org/entity/Q34327,Tsonga,Bantu language of the Tsonga people of southern Africa
http://www.wikidata.org/entity/Q33492,Kurukh,Dravidian language of eastern India
http://www.wikidata.org/entity/Q33810,Odia,Indian language
http://www.wikidata.org/entity/Q33578,Igbo,"Niger–Congo language of the Igbo people, mainly spoken in Nigeria"
http://www.wikidata.org/entity/Q33845,Neapolitan,Italo-Dalmatian language spoken in southern Italy
http://www.wikidata.org/entity/Q33813,Miao,language
http://www.wikidata.org/entity/Q56410,S'gaw Karen,language
http://www.wikidata.org/entity/Q56426,Moroccan Arabic,Maghrebi dialect of the Arabic language spoken in Morocco
http://www.wikidata.org/entity/Q56466,Dinka,"Nilotic dialect cluster spoken by the Dinka people, the major ethnic group of South Sudan"
http://www.wikidata.org/entity/Q56479,Jin,variety of Chinese spoken in northern China
http://www.wikidata.org/entity/Q33657,Gilaki,Western Iranian language
http://www.wikidata.org/entity/Q56583,Pu-Xian Min,language
http://www.wikidata.org/entity/Q56546,Huizhou Chinese,Sinitic language
http://www.wikidata.org/entity/Q56508,Southern Thai,language
http://www.wikidata.org/entity/Q102172,Limburgish,Low Franconian group of dialects
http://www.wikidata.org/entity/Q6654,Croatian,South Slavic language spoken in Croatia
http://www.wikidata.org/entity/Q33754,Lombard,Gallo-Italic language spoken in the Italian region of Lombardy
http://www.wikidata.org/entity/Q56503,Libyan Arabic,dialect of the language as spoken in the North African country
http://www.wikidata.org/entity/Q56483,Laki,Iranian language
http://www.wikidata.org/entity/Q56592,Saʽidi Arabic,"variety of Arabic spoken by the Ṣa‘īdi people south of Cairo, Egypt to the border of Sudan"
http://www.wikidata.org/entity/Q56601,Khams Tibetan,language
http://www.wikidata.org/entity/Q33864,Oromo,Cushitic language
http://www.wikidata.org/entity/Q3915909,Negeri Sembilan Malay,dialect in Malaysia
http://www.wikidata.org/entity/Q33717,Maguindanao,Austronesian language
http://www.wikidata.org/entity/Q33720,Karay-a,Visayan language
http://www.wikidata.org/entity/Q180945,Western Armenian,one of the two languages of the Armenian language branch
http://www.wikidata.org/entity/Q33890,Northern Sotho,Bantu language
http://www.wikidata.org/entity/Q180937,Tosk,southern group of dialects of the Albanian language
http://www.wikidata.org/entity/Q242648,Emilian–Romagnol,branch of Gallo-Italic consisting of Emilian and Romagnol
http://www.wikidata.org/entity/Q306626,Austrian German,variety of Standard German written and spoken in Austria and North Italy
http://www.wikidata.org/entity/Q33868,Meitei,Sino-Tibetan language
http://www.wikidata.org/entity/Q131339,Alemannic,group of dialects of the Upper German branch of the Germanic language family
http://www.wikidata.org/entity/Q7850,Chinese,language group of the Sinitic languages
http://www.wikidata.org/entity/Q36094,Kanuri,Saharan language
http://www.wikidata.org/entity/Q387066,Swiss German,Alemannic dialects spoken in the German-speaking part of Switzerland
